dimension,node,component,value
F1,10.59.212.142,0,0.0000
F1,10.59.212.142,1,0.0009
F1,10.59.21.10,0,0.0000
F1,10.59.21.10,1,0.0009
F1,10.59.212.181,0,0.0000
F1,10.59.212.181,1,0.0009
F1,10.59.43.197,0,2.7884e-07
F1,10.59.43.197,1,0.0000
F1,10.59.174.126,0,-0.0010
F1,10.59.174.126,1,-0.0000
F1,10.59.174.123,0,-0.0010
F1,10.59.174.123,1,-0.0000
F1,10.59.212.44,0,6.9820e-06
F1,10.59.212.44,1,0.0006
F1,10.59.212.201,0,3.4215e-06
F1,10.59.212.201,1,0.0003
F1,10.59.174.201,0,-0.0010
F1,10.59.174.201,1,-0.0000
F1,10.59.207.16,0,2.9016e-06
F1,10.59.207.16,1,0.0003
F1,10.59.174.29,0,-0.0014
F1,10.59.174.29,1,8.0253e-06
F1,10.59.45.245,0,0.0000
F1,10.59.45.245,1,0.0009
F1,10.59.174.245,0,-0.0014
F1,10.59.174.245,1,-0.0000
F1,10.59.174.170,0,-0.0007
F1,10.59.174.170,1,-0.0000
F1,10.59.223.66,0,0.0000
F1,10.59.223.66,1,0.0010
F1,10.59.174.4,0,-0.0010
F1,10.59.174.4,1,-0.0000
F1,10.59.231.201,0,-0.0001
F1,10.59.231.201,1,0.0009
F1,10.59.137.202,0,1.0305e-06
F1,10.59.137.202,1,0.0001
F1,10.59.174.110,0,-0.0010
F1,10.59.174.110,1,-0.0000
F1,10.59.174.228,0,-0.0010
F1,10.59.174.228,1,-0.0000
F1,10.59.174.224,0,-0.0010
F1,10.59.174.224,1,-0.0000
F1,10.59.174.2,0,-0.0010
F1,10.59.174.2,1,-0.0000
F1,10.59.174.220,0,-0.0010
F1,10.59.174.220,1,-0.0000
F1,10.59.174.143,0,-0.0010
F1,10.59.174.143,1,-0.0000
F1,10.59.223.85,0,0.0000
F1,10.59.223.85,1,0.0011
F1,10.59.174.177,0,-0.0010
F1,10.59.174.177,1,-0.0000
F1,10.59.137.72,0,0.0000
F1,10.59.137.72,1,0.0009
F1,10.59.137.187,0,3.0941e-06
F1,10.59.137.187,1,0.0002
F1,10.59.126.75,0,2.4389e-06
F1,10.59.126.75,1,0.0002
F1,10.59.174.118,0,-0.0010
F1,10.59.174.118,1,-0.0000
F1,10.59.174.81,0,-0.0011
F1,10.59.174.81,1,-0.0000
F1,10.59.174.13,0,-0.0010
F1,10.59.174.13,1,-0.0000
F1,10.59.174.14,0,-0.0010
F1,10.59.174.14,1,-0.0000
F1,10.59.174.157,0,-0.0010
F1,10.59.174.157,1,-0.0000
F1,10.59.174.62,0,-0.0014
F1,10.59.174.62,1,0.0001
F1,10.59.45.43,0,2.4348e-07
F1,10.59.45.43,1,7.5164e-06
F1,10.59.137.92,0,-0.0000
F1,10.59.137.92,1,0.0000
F1,10.59.45.122,0,0.0000
F1,10.59.45.122,1,0.0009
F1,10.59.179.124,0,3.2573e-06
F1,10.59.179.124,1,0.0006
F1,10.59.43.118,0,0.0000
F1,10.59.43.118,1,0.0010
F1,10.59.34.123,0,8.0672e-08
F1,10.59.34.123,1,5.8258e-06
F1,10.59.45.221,0,-0.0010
F1,10.59.45.221,1,0.0001
F1,10.59.255.220,0,5.9998e-07
F1,10.59.255.220,1,0.0000
F1,10.59.212.16,0,0.0000
F1,10.59.212.16,1,0.0009
F1,10.59.174.16,0,-0.0010
F1,10.59.174.16,1,-0.0000
F1,10.59.174.115,0,-0.0010
F1,10.59.174.115,1,-0.0000
F1,10.59.174.121,0,-0.0010
F1,10.59.174.121,1,-0.0000
F1,10.59.146.157,0,-0.0010
F1,10.59.146.157,1,-0.0000
