index,source,target,protocol,count
569,10.59.137.74,10.59.223.172,http,1
574,10.59.215.120,10.59.93.194,unknown,1
574,10.59.216.172,10.59.216.184,unknown,1
574,10.59.216.48,10.59.216.184,unknown,1
575,10.59.174.218,internal,http_proxy,10
575,10.59.180.88,10.59.174.152,mysql,2
575,10.59.223.66,internal,http,1
575,10.59.174.16,internal,http_proxy,2
575,10.59.36.66,outeral,http,1
575,10.59.174.245,10.59.174.170,http_proxy,5
575,10.59.126.30,outeral,http,1
575,internal,10.59.216.254,smb,1
575,10.59.137.72,internal,http,22
575,10.59.126.124,outeral,http,3
575,10.59.212.181,outeral,http,136
575,10.59.212.2,10.59.223.28,http,7
575,10.59.45.43,10.59.207.218,http,6
575,10.59.174.220,internal,http_proxy,3
575,10.59.137.78,internal,unknown,1
575,10.59.137.78,internal,mysql,4
575,10.59.45.122,internal,http,15
575,10.59.223.66,outeral,http,7
575,10.59.174.157,internal,http_proxy,2
575,10.59.36.162,outeral,http,1
575,10.59.45.221,outeral,http_proxy,2
575,10.59.231.213,outeral,ssl,1
575,10.59.174.4,internal,http_proxy,1
575,10.59.253.10,outeral,http,10
575,10.59.174.201,internal,http_proxy,1
575,10.59.212.201,10.59.34.15,ftp_control,10
575,10.59.174.227,internal,http_proxy,2
575,10.59.81.75,internal,unknown,1
575,10.59.21.10,internal,http,12
575,10.59.22.149,outeral,whois-das,2
575,10.59.174.29,10.59.174.143,http_proxy,4
575,10.59.174.187,internal,http_proxy,4
575,10.59.253.157,10.59.20.14,http,1
575,10.59.43.118,outeral,http,1
575,10.59.212.121,10.59.223.66,http,16
575,internal,10.59.126.199,http,1
575,10.59.174.62,internal,http_proxy,15
575,10.59.231.201,internal,unknown,1
575,10.59.231.201,internal,http,4
575,10.59.126.129,outeral,http,2
575,10.59.253.157,10.59.20.92,ssl,1
575,internal,10.59.55.130,telnet,1
575,10.59.174.126,internal,http_proxy,2
575,10.59.174.118,internal,http_proxy,1
575,10.59.174.81,internal,http_proxy,16
575,10.59.212.121,10.59.181.51,http,4
575,10.59.212.201,10.59.22.82,ftp_control,21
575,10.59.174.110,internal,http_proxy,1
575,10.59.126.194,outeral,http,1
575,10.59.212.121,outeral,http,3
575,10.59.223.66,10.59.223.26,unknown,1
575,10.59.223.66,10.59.223.26,http,33
575,internal,10.59.253.170,http_proxy,1
575,10.59.137.151,internal,http,3
575,10.59.174.121,internal,http_proxy,3
575,10.59.231.201,outeral,unknown,5
575,10.59.231.201,outeral,http,19
575,10.59.174.75,internal,http_proxy,2
575,10.59.36.81,outeral,http,1
575,10.59.146.157,internal,http_proxy,5
575,10.59.174.245,internal,http_proxy,12
